Country,2000,2008,2016,2024,lat,long,,,,,,,,,,
Afghanistan,49.6,35.7,27.1,30.8,33.93911,67.709953,,,,,,,,,,
Albania,16,15.5,6.2,7.9,41.153332,20.168331,,,,,,,,,,
Algeria,14.5,11,8.5,6.7,28.033886,1.659626,,,,,,,,,,
Angola,63.8,42.7,25.9,26.6,-11.202692,17.873887,,,,,,,,,,
Argentina,6.6,5.4,5.2,6.6,-38.416097,-63.616672,,,,,,,,,,
Armenia,19.2,11.7,6.4,5.1,40.069099,45.038189,,,,,,,,,,
Azerbaijan,25,15,8.1,6.2,40.143105,47.576927,,,,,,,,,,
Bahrain,—,—,—,—,25.930414,50.637772,,,,,,,,,,
Bangladesh,33.8,30.6,24.7,19.4,23.684994,90.356331,,,,,,,,,,
Belarus,<5,<5,<5,<5,53.709807,27.953389,,,,,,,,,,
Benin,33.7,26.9,23.6,24.7,9.30769,2.315834,,,,,,,,,,
Bhutan,—,—,—,—,27.514162,90.433601,,,,,,,,,,
Bolivia (Plurinat. State of),27,21.2,14.3,16.8,-16.290154,-63.588653,,,,,,,,,,
Bosnia & Herzegovina,9.4,6.4,<5,<5,43.915886,17.679076,,,,,,,,,,
Botswana,27.5,26.3,21.4,20.7,-22.328474,24.684866,,,,,,,,,,
Brazil,11.7,6.7,5.5,6.6,-14.235004,-51.92528,,,,,,,,,,
Bulgaria,8.9,7.8,7.5,5.1,42.733883,25.48583,,,,,,,,,,
Burkina Faso,44.9,33.7,25.6,24.6,12.238333,-1.561593,,,,,,,,,,
Burundi,—,—,—,—,-3.373056,29.918886,,,,,,,,,,
Cabo Verde,14.7,11.7,11.3,9.2,16.002082,-24.013197,,,,,,,,,,
Cambodia,41.3,24.9,18.9,14.7,12.565679,104.990963,,,,,,,,,,
Cameroon,36,29,20.8,18.3,7.369722,12.354722,,,,,,,,,,
Central African Republic,48,43.5,32.6,31.5,6.611111,20.939444,,,,,,,,,,
Chad,50.5,44.8,38.8,36.4,15.454166,18.732207,,,,,,,,,,
Chile,<5,<5,<5,<5,-35.675147,-71.542969,,,,,,,,,,
China,13.4,7.2,<5,<5,35.86166,104.195397,,,,,,,,,,
Colombia,10.8,10.1,7.2,5.7,4.570868,-74.297333,,,,,,,,,,
Comoros,38.1,28.9,21.3,18.8,-11.875001,43.872219,,,,,,,,,,
Congo (Republic of),34.9,32.2,26.8,24,-0.228021,15.827659,,,,,,,,,,
Costa Rica,6.6,<5,<5,<5,9.748917,-83.753428,,,,,,,,,,
Côte d'Ivoire,33.1,35.2,21.5,20.6,7.539989,-5.54708,,,,,,,,,,
Croatia,5.5,<5,<5,<5,45.1,15.2,,,,,,,,,,
Dem. Rep. of the Congo,47.2,41.2,36.2,34.9,-4.038333,21.758664,,,,,,,,,,
Djibouti,44.2,33.9,24,21.2,11.825138,42.590275,,,,,,,,,,
Dominican Republic,15,13.8,8.3,7.8,18.735693,-70.162651,,,,,,,,,,
Ecuador,19.3,17.8,11.8,11.6,-1.831239,-78.183406,,,,,,,,,,
Egypt,16.1,16.8,15.4,13.2,26.820553,30.802498,,,,,,,,,,
El Salvador,14.5,11.7,9.4,8,13.794185,-88.89653,,,,,,,,,,
Equatorial Guinea,—,—,—,—,1.650801,10.267895,,,,,,,,,,
Eritrea,—,—,—,—,15.179384,39.782334,,,,,,,,,,
Estonia,<5,<5,<5,<5,58.595272,25.013607,,,,,,,,,,
Eswatini,24.8,24.9,19.6,15.7,-26.522503,31.465866,,,,,,,,,,
Ethiopia,53.4,37.8,26.2,26.2,9.145,40.489673,,,,,,,,,,
Fiji,9.6,8.8,10.6,10.2,-16.578193,179.414413,,,,,,,,,,
Gabon,21,19.2,16.7,17.4,-0.803689,11.609444,,,,,,,,,,
