"Country
                        with data from","2000
'98-'02","2008
'06-'10","2016
'14-'18","2024
'19-'23",Absolute change since 2016,% change since 2016,region,region-code
Afghanistan,49.6,35.7,27.1,30.8,3.7,13.7,Asia,142
Albania,16,15.5,6.2,7.9,1.7,27.4,Europe,150
Algeria,14.5,11,8.5,6.7,-1.8,-21.2,Africa,2
Angola,63.8,42.7,25.9,26.6,0.7,2.7,Africa,2
Argentina,6.6,5.4,5.2,6.6,1.4,26.9,Americas,19
Armenia,19.2,11.7,6.4,5.1,-1.3,-20.3,Asia,142
Azerbaijan,25,15,8.1,6.2,-1.9,-23.5,Asia,142
Bahrain,—,—,—,—,—,—,Asia,142
Bangladesh,33.8,30.6,24.7,19.4,-5.3,-21.5,Asia,142
Belarus,<5,<5,<5,<5,—,—,Europe,150
Benin,33.7,26.9,23.6,24.7,1.1,4.7,Africa,2
Bhutan,—,—,—,—,—,—,Asia,142
Bolivia (Plurinat. State of),27,21.2,14.3,16.8,2.5,17.5,Americas,19
Bosnia & Herzegovina,9.4,6.4,<5,<5,—,—,Europe,150
Botswana,27.5,26.3,21.4,20.7,-0.7,-3.3,Africa,2
Brazil,11.7,6.7,5.5,6.6,1.1,20,Americas,19
Bulgaria,8.9,7.8,7.5,5.1,-2.4,-32,Europe,150
Burkina Faso,44.9,33.7,25.6,24.6,-1,-3.9,Africa,2
Burundi,—,—,—,—,—,—,Africa,2
Cabo Verde,14.7,11.7,11.3,9.2,-2.1,-18.6,Africa,2
Cambodia,41.3,24.9,18.9,14.7,-4.2,-22.2,Asia,142
Cameroon,36,29,20.8,18.3,-2.5,-12,Africa,2
Central African Republic,48,43.5,32.6,31.5,-1.1,-3.4,Africa,2
Chad,50.5,44.8,38.8,36.4,-2.4,-6.2,Africa,2
Chile,<5,<5,<5,<5,—,—,Americas,19
China,13.4,7.2,<5,<5,—,—,Asia,142
Colombia,10.8,10.1,7.2,5.7,-1.5,-20.8,Americas,19
Comoros,38.1,28.9,21.3,18.8,-2.5,-11.7,Africa,2
Congo (Republic of),34.9,32.2,26.8,24,-2.8,-10.4,Africa,2
Costa Rica,6.6,<5,<5,<5,—,—,Americas,19
Côte d'Ivoire,33.1,35.2,21.5,20.6,-0.9,-4.2,Africa,2
Croatia,5.5,<5,<5,<5,—,—,Europe,150
Dem. Rep. of the Congo,47.2,41.2,36.2,34.9,-1.3,-3.6,Africa,2
Djibouti,44.2,33.9,24,21.2,-2.8,-11.7,Africa,2
Dominican Republic,15,13.8,8.3,7.8,-0.5,-6,Americas,19
Ecuador,19.3,17.8,11.8,11.6,-0.2,-1.7,Americas,19
Egypt,16.1,16.8,15.4,13.2,-2.2,-14.3,Africa,2
El Salvador,14.5,11.7,9.4,8,-1.4,-14.9,Americas,19
Equatorial Guinea,—,—,—,—,—,—,Africa,2
Eritrea,—,—,—,—,—,—,Africa,2
Estonia,<5,<5,<5,<5,—,—,Europe,150
Eswatini,24.8,24.9,19.6,15.7,-3.9,-19.9,Africa,2
Ethiopia,53.4,37.8,26.2,26.2,0,0,Africa,2
Fiji,9.6,8.8,10.6,10.2,-0.4,-3.8,Oceania,9
Gabon,21,19.2,16.7,17.4,0.7,4.2,Africa,2
Gambia,29,23.1,17.8,19.9,2.1,11.8,Africa,2
Georgia,12,6.6,5.4,<5,—,—,Asia,142
Ghana,28.5,22.2,16.7,13.9,-2.8,-16.8,Africa,2
Guatemala,28.5,24,20.1,18.8,-1.3,-6.5,Americas,19
Guinea,40.1,31.5,28.2,23.2,-5,-17.7,Africa,2
Guinea-Bissau,37.6,29.6,30.2,30.5,0.3,1,Africa,2
Guyana,17,14.9,10.7,9.1,-1.6,-15,Americas,19
Haiti,39.8,39.8,30,34.3,4.3,14.3,Americas,19
Honduras,21.5,18.7,13.9,15.6,1.7,12.2,Americas,19
Hungary,<5,<5,<5,<5,—,—,Europe,150
India,38.4,35.2,29.3,27.3,-2,-6.8,Asia,142
Indonesia,25.7,28.2,18.3,16.9,-1.4,-7.7,Asia,142
Iran (Islamic Republic of),13.7,9.1,8,7.4,-0.6,-7.5,Asia,142
Iraq,22.9,19.8,14.3,14.9,0.6,4.2,Asia,142
Jamaica,8.4,8.5,9,7.7,-1.3,-14.4,Americas,19
Jordan,10.5,7.5,7.8,12,4.2,53.8,Asia,142
Kazakhstan,11.2,11.1,5.6,5.3,-0.3,-5.4,Asia,142
Kenya,36.3,29,24,25,1,4.2,Africa,2
Korea (DPR),43.7,30.5,26.2,31.4,5.2,19.8,Asia,142
Kuwait,<5,<5,<5,<5,—,—,Asia,142
Kyrgyzstan,17.2,12.9,8.6,6.8,-1.8,-20.9,Asia,142
Lao PDR,44.2,30.3,21.2,19.8,-1.4,-6.6,Asia,142
Latvia,<5,<5,<5,<5,—,—,Europe,150
Lebanon,10.2,9.1,7.5,8.1,0.6,8,Asia,142
Lesotho,—,—,—,—,—,—,Africa,2
Liberia,48,36.6,32.3,31.9,-0.4,-1.2,Africa,2
Libya,14.2,12.9,19.3,19.2,-0.1,-0.5,Africa,2
Lithuania,<5,<5,<5,<5,—,—,Europe,150
Madagascar,42.3,36.6,33.2,36.3,3.1,9.3,Africa,2
Malawi,43,28.1,22.8,21.9,-0.9,-3.9,Africa,2
Malaysia,15.4,13.7,13.4,12.7,-0.7,-5.2,Asia,142
Maldives,—,—,—,—,—,—,Asia,142
Mali,41.9,31.8,24.7,24,-0.7,-2.8,Africa,2
Mauritania,30.4,18.8,22.3,21.1,-1.2,-5.4,Africa,2
Mauritius,15.4,13.9,13.4,12.8,-0.6,-4.5,Africa,2
Mexico,10.1,9.7,6.6,6.1,-0.5,-7.6,Americas,19
Moldova (Rep. of),17.6,14.7,6.1,5.6,-0.5,-8.2,Europe,150
Mongolia,29.7,16.7,7.5,5.6,-1.9,-25.3,Asia,142
Montenegro,—,5.7,<5,<5,—,—,Europe,150
Morocco,15.5,11.7,8.7,9.2,0.5,5.7,Africa,2
Mozambique,48.3,35.6,38.5,27.5,-11,-28.6,Africa,2
Myanmar,40.2,29.9,17.1,15.7,-1.4,-8.2,Asia,142
Namibia,26.5,27.5,20.6,19.7,-0.9,-4.4,Africa,2
Nepal,37.1,29.2,21.2,14.7,-6.5,-30.7,Asia,142
Nicaragua,21.7,17.1,14,13.6,-0.4,-2.9,Americas,19
Niger,53.1,39.6,32.8,34.1,1.3,4,Africa,2
