Country,Undernourishment (% of population) '00-'02,Undernourishment (% of population) '07-'09,Undernourishment (% of population) '15-'17,Undernourishment (% of population) '21-'23,Child wasting (% of children under five years old) '98-'02,,Child wasting (% of children under five years old) '06-'10,,Child wasting (% of children under five years old) '14-'18,,Child wasting (% of children under five years old) '19-'23,,Child stunting (% of children under five years old) '98-'02,,Child stunting (% of children under five years old) '06-'10,,Child stunting (% of children under five years old) '14-'18,,Child stunting (% of children under five years old) '19-'23,,Child mortality (% of children under five years old) 2000,Child mortality (% of children under five years old) 2008,Child mortality (% of children under five years old) 2016,Child mortality (% of children under five years old) 2022
Afghanistan,46,25.1,20.5,30.4,8.9,*,7.2,*,5.1,,3.6,,54.4,*,50.8,*,38.2,,44.6,,13.2,9.6,7,5.8
Albania,4.9,7.4,4.3,4.5,6.5,*,9.6,,1.6,,3.9,*,32.8,*,23.2,,11.3,,12.5,*,2.7,1.6,0.9,0.9
Algeria,7.5,5.2,2.6,< 2.5,3.1,,4.1,,4,*,2.7,,23.6,,15.4,,12,*,9.8,,4.2,3,2.5,2.2
Angola,67.4,43.3,14.9,23.2,8.2,*,8.3,,4.9,,5.3,*,49.9,*,29.2,,37.6,,32.1,*,20.3,13.7,8.4,6.7
Argentina,2.9,3.2,3,3.2,2.1,*,1.2,,1.8,*,2.7,,10.2,*,8.2,,8,*,12.3,,1.9,1.5,1.1,0.9
Armenia,25.9,5.9,< 2.5,< 2.5,2.5,,4.1,,4.4,,3.1,*,17.3,,20.9,,9.4,,9.5,*,3.1,2.1,1.4,1
Azerbaijan,16.9,< 2.5,< 2.5,< 2.5,9,,6.8,,3.8,*,3.3,*,24.2,,26.5,,12.4,*,10.2,*,7.5,4.3,2.5,1.8
Bahrain,—,—,—,—,0.9,*,0.8,*,0.7,*,0.7,*,2.4,*,1.9,*,1.8,*,1.8,*,1.2,0.9,0.7,0.7
Bangladesh,15.5,12.9,14.4,11.9,12.5,,17.5,,12.8,,11,,51.1,,43.2,,33.8,,23.6,,8.6,5.5,3.7,2.9
Belarus,< 2.5,< 2.5,< 2.5,< 2.5,2.5,*,2.1,*,2,*,2,*,6.1,*,3.8,*,3.3,*,3.1,*,1.3,0.7,0.4,0.3
Benin,17.2,10.4,9.7,10.3,9,,5.2,,4.8,,8.3,,36.2,,37.4,,33.1,,34.1,,13.6,11.3,9.5,8.1
Bhutan,—,—,—,—,2.6,,4.5,,3,*,2.5,*,47.7,,34.9,,24.1,*,18.8,*,7.9,4.6,2.9,2.4
Bolivia (Plurinat. State of),26.4,22.9,15.6,23,1.6,,1.4,,2,,1.5,*,33.2,,27.1,,16.1,,17.2,*,7.6,4.7,3,2.4
Bosnia & Herzegovina,3.5,< 2.5,< 2.5,< 2.5,7.4,,4,,3.5,*,3.2,*,12.1,,11.8,,8,*,6.6,*,1,0.7,0.6,0.6
Botswana,23.7,22.3,20.9,24.3,5.9,,7.3,,7.3,*,6.3,*,29.1,,28.9,,17.4,*,13.9,*,7.8,6.4,4.7,3.9
Brazil,10.4,4.9,< 2.5,3.9,2.9,*,1.8,,2.3,*,3.4,,10.1,*,7,,6.9,*,7.2,,3.5,2.1,1.7,1.4
Bulgaria,4.2,4.6,4.1,< 2.5,5.1,*,4.7,,6,,4.2,*,11,*,9.2,,7,,5.9,*,1.8,1.1,0.8,0.6
Burkina Faso,22.7,15.7,13.9,15.4,15.5,,11.3,,7.5,,9.8,,41.4,,35.1,,26.8,,21.9,,17.8,13.2,9.7,7.9
